Tema,Colaboradores,Vistas,Duracion,Link Youtube,Fecha lanzamiento,Key
Just Dance,Colby O'Donis | Akon,300 millones,4:01,https://www.youtube.com/watch?v=2Abk1jAONjw,2008-04-08,0028
Poker Face,,1200 millones,3:57,https://www.youtube.com/watch?v=bESGLojNYSo,2008-09-26,0027
Eh Eh (Nothing Else I Can Say),,50 millones,2:55,https://www.youtube.com/watch?v=6yP4Nm86yk0,2009-01-10,0026
LoveGame,,100 millones,3:36,https://www.youtube.com/watch?v=lv5RJ1q8u3I,2009-03-24,0025
Paparazzi,,300 millones,3:28,https://www.youtube.com/watch?v=d2smz_1L2_0,2009-07-06,0024
Bad Romance,,1300 millones,4:54,https://www.youtube.com/watch?v=qrO4YZeyl0I,2009-10-26,0023
Telephone,Beyonc� | Kanye West,500 millones,3:40,https://www.youtube.com/watch?v=EVBsypHzF3U,2010-01-26,0022
Alejandro,,400 millones,4:34,https://www.youtube.com/watch?v=niqrrmev4mA,2010-04-20,0021
Born This Way,,400 millones,4:20,https://www.youtube.com/watch?v=wV1FrqwZyKw,2011-02-11,0020
Judas,,300 millones,4:09,https://www.youtube.com/watch?v=wagn8Wrmzuc,2011-04-15,0019
The Edge of Glory,,200 millones,5:20,https://www.youtube.com/watch?v=QeWBS0JBNzQ,2011-05-09,0018
You and I,,150 millones,5:07,https://www.youtube.com/watch?v=X9YMU0WeBwU,2011-08-23,0017
Applause,,400 millones,3:32,https://www.youtube.com/watch?v=GuJQSAiODqI,2013-08-12,0016
Do What U Want,R. Kelly | Christina Aguilera,100 millones,3:47,https://www.youtube.com/watch?v=1Ek5QdDjeQ4,2013-10-21,0015
G.U.Y.,,80 millones,3:52,https://www.youtube.com/watch?v=PNu_-deVemE,2014-03-28,0014
Perfect Illusion,,200 millones,3:02,https://www.youtube.com/watch?v=9Y8Vx7wr93s,2016-09-09,0013
Million Reasons,,600 millones,3:25,https://www.youtube.com/watch?v=8NUBicVpW9s,2016-10-06,0012
Joanne (Where Do You Think You're Goin'?),,50 millones,4:39,https://www.youtube.com/watch?v=7HmiFxqdgq4,2018-02-22,0011
Shallow,Bradley Cooper | Lukas Nelson,1900 millones,3:37,https://www.youtube.com/watch?v=bo_efYhYU2A,2018-09-27,0010
Always Remember Us This Way,,700 millones,3:30,https://www.youtube.com/watch?v=5XK4v2fgMPU,2018-10-05,0009
Stupid Love,,300 millones,3:13,https://www.youtube.com/watch?v=5L6xyaeiV58,2020-02-28,0008
Rain On Me,Ariana Grande | Dua Lipa,700 millones,3:02,https://www.youtube.com/watch?v=AoAm4om0wTs,2020-05-22,0007
Sour Candy,BLACKPINK | Selena Gomez,500 millones,2:37,https://www.youtube.com/watch?v=8kJ7qD5q6Qk,2020-05-28,0006
911,,100 millones,2:52,https://www.youtube.com/watch?v=4I0D2lO9JhA,2020-09-18,0005
Hold My Hand (Top Gun: Maverick),,50 millones,3:45,https://www.youtube.com/watch?v=Y4cRx19nhJg,2022-05-03,0029
Electric Dreams,The Weeknd | Elton John,10 millones,3:45,https://www.youtube.com/watch?v=ficticio2024,2024-03-15,0004
Neon Hearts,Dua Lipa | Bruno Mars,25 millones,4:12,https://www.youtube.com/watch?v=ficticio2024b,2024-07-20,0030
Starlight,Ariana Grande | The Weeknd,15 millones,3:50,https://www.youtube.com/watch?v=ficticio2024c,2024-11-01,0003
Electric Love,Dua Lipa | Sia,20 millones,3:30,https://www.youtube.com/watch?v=ficticio2025a,2025-02-14,0002
Midnight Sky,The Weeknd | Ariana Grande,30 millones,4:00,https://www.youtube.com/watch?v=ficticio2025b,2025-06-10,0001
